Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2",CP_Elec_10x12.6,3,180uF,
"C11, C13, C7, C9",1206,4,0.1uF,
"C12, C3, C4",1210,3,10uF,
"C5, C6, C8",CP_Elec_10x12.6,3,100uF,
D1,LED_155124RV73200,1,LED GRN,
D2,LED_155124RV73200,1,LED RED,
F1,FUSC9830X318N,1,Fuse,
IC1,AZ7042RTRG1,1,ZXTR2005Z-13,
J1,PHOENIX_2907774,1,Screw_Terminal_01x04,
J2,PHOENIX_2907787,1,Screw_Terminal_01x04,
J3,PHOENIX_1803293,1,Conn_01x04_Socket,
"J4, J5",SSM-106-XXX-DV,2,Conn_02x06_Top_Bottom,
PS1,CONV_I7C4W008A120V-0C3-R,1,I7C4W008A120V-0C3-R,
"R1, R2, R3",1206,3,1k,
"R4, R5",1206,2,10k,
RV1,3009P1154LF,1,4k,
RV2,3009P1154LF,1,150k,
S1,EG1247,1,EG1247,
U1,SOIC127P600X175-14N,1,74HC04,
