Designator,Mid X,Mid Y,Rotation,Layer
C1,128.175,-122.925,0.0,top
C10,128.175,-99.175,0.0,top
C11,167.375,-75.125,90.0,top
C12,134.175,-74.775,180.0,top
C13,138.025,-81.325,270.0,top
C2,128.175,-111.075,0.0,top
C3,136.255,-86.855,90.0,top
C4,140.005,-86.855,90.0,top
C5,179.075,-96.725,180.0,top
C6,179.075,-108.575,180.0,top
C7,154.355,-83.355,180.0,top
C8,179.075,-120.425,180.0,top
C9,178.755,-89.245,0.0,top
D1,116.875,-67.375,0.0,top
D2,121.875,-67.375,0.0,top
F1,127.775,-90.275,0.0,top
IC1,139.99,-76.425,180.0,top
J1,108.1779,-80.443545,295.0,top
J2,184.830783,-77.880289,65.0,top
J3,160.9625,-67.105,180.0,top
J4,111.765,-101.525,90.0,top
J5,111.765,-101.525,90.0,bottom
PS1,152.8125,-109.54,0.0,top
R1,135.445,-79.275,270.0,top
R2,154.285,-80.745,180.0,top
R3,132.99,-79.3,270.0,top
R4,154.255,-75.245,0.0,top
R5,154.255,-78.035,180.0,top
RV1,146.962,-74.446,90.0,top
RV2,128.15,-74.446,90.0,top
S1,137.61,-68.335,180.0,top
U1,161.125,-79.29,0.0,top
